"","X.1","X","index","gene","cluster","comment","gene_id","chip.seq.10k.peak","gene.2"
"Zbtb10",29,"ENSMUSG00000069114",29,"Zbtb10",2,"","ENSMUSG00000069114",TRUE,"Zbtb10"
"Itpkc",37,"ENSMUSG00000003752",37,"Itpkc",2,"","ENSMUSG00000003752",FALSE,"Itpkc"
"Klf10",46,"ENSMUSG00000037465",46,"Klf10",3,"","ENSMUSG00000037465",TRUE,"Klf10"
"Irf1",47,"ENSMUSG00000018899",47,"Irf1",3,"","ENSMUSG00000018899",TRUE,"Irf1"
"Rel",50,"ENSMUSG00000020275",50,"Rel",3,"","ENSMUSG00000020275",FALSE,"Rel"
"Gadd45b",52,"ENSMUSG00000015312",52,"Gadd45b",3,"","ENSMUSG00000015312",TRUE,"Gadd45b"
"Pim1",53,"ENSMUSG00000024014",53,"Pim1",3,"","ENSMUSG00000024014",TRUE,"Pim1"
"ENSMUSG00000097418",54,"ENSMUSG00000097418",54,"ENSMUSG00000097418",3,"","ENSMUSG00000097418",FALSE,"Mir155hg"
"Zc3h12c",55,"ENSMUSG00000035164",55,"Zc3h12c",3,"","ENSMUSG00000035164",FALSE,"Zc3h12c"
"Cxcl10",57,"ENSMUSG00000034855",57,"Cxcl10",3,"","ENSMUSG00000034855",TRUE,"Cxcl10"
"Cgn",62,"ENSMUSG00000068876",62,"Cgn",4,"","ENSMUSG00000068876",FALSE,"Cgn"
"Pdgfb",63,"ENSMUSG00000000489",63,"Pdgfb",4,"","ENSMUSG00000000489",FALSE,"Pdgfb"
"Sik1",71,"ENSMUSG00000024042",71,"Sik1",4,"","ENSMUSG00000024042",TRUE,"Sik1"
"Kcnk10",72,"ENSMUSG00000033854",72,"Kcnk10",4,"","ENSMUSG00000033854",FALSE,"Kcnk10"
"Ccl1",73,"ENSMUSG00000020702",73,"Ccl1",4,"","ENSMUSG00000020702",FALSE,"Ccl1"
"Wnt11",78,"ENSMUSG00000015957",78,"Wnt11",4,"","ENSMUSG00000015957",FALSE,"Wnt11"
"Angptl4",82,"ENSMUSG00000002289",82,"Angptl4",4,"","ENSMUSG00000002289",TRUE,"Angptl4"
"Bdkrb2",84,"ENSMUSG00000021070",84,"Bdkrb2",4,"","ENSMUSG00000021070",FALSE,"Bdkrb2"
"Icam1",85,"ENSMUSG00000037405",85,"Icam1",4,"","ENSMUSG00000037405",TRUE,"Icam1"
"Nfkb1",86,"ENSMUSG00000028163",86,"Nfkb1",4,"","ENSMUSG00000028163",FALSE,"Nfkb1"
"Nfkb2",87,"ENSMUSG00000025225",87,"Nfkb2",4,"","ENSMUSG00000025225",TRUE,"Nfkb2"
"Nfkbie",88,"ENSMUSG00000023947",88,"Nfkbie",4,"","ENSMUSG00000023947",TRUE,"Nfkbie"
"Rab11fip1",89,"ENSMUSG00000031488",89,"Rab11fip1",4,"","ENSMUSG00000031488",FALSE,"Rab11fip1"
"Rhof",91,"ENSMUSG00000029449",91,"Rhof",4,"","ENSMUSG00000029449",FALSE,"Rhof"
"Ripk2",92,"ENSMUSG00000041135",92,"Ripk2",4,"","ENSMUSG00000041135",FALSE,"Ripk2"
"Trim47",93,"ENSMUSG00000020773",93,"Trim47",4,"","ENSMUSG00000020773",TRUE,"Trim47"
"Slco2a1",96,"ENSMUSG00000032548",96,"Slco2a1",5,"","ENSMUSG00000032548",TRUE,"Slco2a1"
"Gbp2",99,"ENSMUSG00000028270",99,"Gbp2",5,"","ENSMUSG00000028270",TRUE,"Gbp2"
"Slc7a2",102,"ENSMUSG00000031596",102,"Slc7a2",5,"","ENSMUSG00000031596",FALSE,"Slc7a2"
"Cx3cl1",111,"ENSMUSG00000031778",111,"Cx3cl1",5,"","ENSMUSG00000031778",TRUE,"Cx3cl1"
"B4galt5",115,"ENSMUSG00000017929",115,"B4galt5",5,"","ENSMUSG00000017929",FALSE,"B4galt5"
"Gda",117,"ENSMUSG00000058624",117,"Gda",5,"","ENSMUSG00000058624",FALSE,"Gda"
"Il1r1",118,"ENSMUSG00000026072",118,"Il1r1",5,"","ENSMUSG00000026072",TRUE,"Il1r1"
"Jak2",119,"ENSMUSG00000024789",119,"Jak2",5,"","ENSMUSG00000024789",TRUE,"Jak2"
"Rab20",122,"ENSMUSG00000031504",122,"Rab20",5,"","ENSMUSG00000031504",FALSE,"Rab20"
"Sdc4",123,"ENSMUSG00000017009",123,"Sdc4",5,"","ENSMUSG00000017009",TRUE,"Sdc4"
"St3gal1",124,"ENSMUSG00000013846",124,"St3gal1",5,"","ENSMUSG00000013846",TRUE,"St3gal1"
"Slfn2",131,"ENSMUSG00000072620",131,"Slfn2",6,"","ENSMUSG00000072620",FALSE,"Slfn2"
"Hivep3",134,"ENSMUSG00000028634",134,"Hivep3",6,"","ENSMUSG00000028634",FALSE,"Hivep3"
"Tnfaip2",139,"ENSMUSG00000021281",139,"Tnfaip2",6,"","ENSMUSG00000021281",FALSE,"Tnfaip2"
"Tnfsf11",140,"ENSMUSG00000022015",140,"Tnfsf11",6,"","ENSMUSG00000022015",FALSE,"Tnfsf11"
"Slc39a4",141,"ENSMUSG00000063354",141,"Slc39a4",7,"","ENSMUSG00000063354",FALSE,"Slc39a4"
"Tmem158",144,"ENSMUSG00000054871",144,"Tmem158",7,"","ENSMUSG00000054871",FALSE,"Tmem158"
"Egln3",146,"ENSMUSG00000035105",146,"Egln3",7,"","ENSMUSG00000035105",FALSE,"Egln3"
"Adtrp",147,"ENSMUSG00000058022",147,"Adtrp",7,"","ENSMUSG00000058022",FALSE,"Adtrp"
"Flt1",156,"ENSMUSG00000029648",156,"Flt1",7,"","ENSMUSG00000029648",FALSE,"Flt1"
"Pilra",161,"ENSMUSG00000046245",161,"Pilra",8,"","ENSMUSG00000046245",FALSE,"Pilra"
"Ptges",173,"ENSMUSG00000050737",173,"Ptges",8,"","ENSMUSG00000050737",FALSE,"Ptges"
"Fpr1",174,"ENSMUSG00000045551",174,"Fpr1",8,"","ENSMUSG00000045551",FALSE,"Fpr1"
"Lcn2",176,"ENSMUSG00000026822",176,"Lcn2",8,"","ENSMUSG00000026822",FALSE,"Lcn2"
