"","r2","nrmsd","gene","cluster"
"Acpp",0.847915041424543,0.129645598959466,"Acpp",8
"Adtrp",0.557450403896464,0.216487025683409,"Adtrp",5
"Angptl4",0.127996692623432,0.284023484871226,"Angptl4",4
"B4galt5",-0.131188719326823,0.508109609492514,"B4galt5",4
"Bcl3",0.801857917418719,0.167374558597114,"Bcl3",3
"Bdkrb2",-0.680453581375527,0.441848607668892,"Bdkrb2",7
"Ccl1",0.813342308280936,0.146545580976575,"Ccl1",7
"Ccl2",0.653713660234149,0.21464835346348,"Ccl2",3
"Ccl5",0.810806448617986,0.146033165931418,"Ccl5",8
"Ccl7",0.573609427991632,0.251357095569176,"Ccl7",2
"Cd274",0.496050215738412,0.246005077126935,"Cd274",9
"Cebpb",0.308352017534237,0.32256007450057,"Cebpb",2
"Cgn",0.152701438821522,0.305871222916557,"Cgn",3
"Cx3cl1",0.718600735585252,0.298772098725341,"Cx3cl1",7
"Cxcl10",0.502291052978252,0.256000199152394,"Cxcl10",3
"Egln3",0.617180211541046,0.209836917451819,"Egln3",9
"ENSMUSG00000041481",0.522920783126857,0.216645340444888,"ENSMUSG00000041481",4
"ENSMUSG00000097418",0.0993645395371792,0.293011022208975,"ENSMUSG00000097418",1
"ENSMUSG00000097804",0.815405237606901,0.121865532054736,"ENSMUSG00000097804",7
"Exoc3l4",-0.553250057893868,0.363779339998187,"Exoc3l4",9
"Flt1",0.39422321289357,0.293260164886984,"Flt1",4
"Fpr1",0.605536718852391,0.196426379391895,"Fpr1",8
"Gadd45b",0.776699214269633,0.150505589816864,"Gadd45b",1
"Gbp2",0.679479478812518,0.181325344219396,"Gbp2",5
"Gch1",0.800013799126342,0.169327269530062,"Gch1",7
"Gda",-1.18535522128009,0.447500520306803,"Gda",4
"Gdf15",-0.958257291254105,0.425223125253996,"Gdf15",10
"Glrx",-0.0430161429859786,0.493627168790328,"Glrx",9
"Gsap",0.657734461974534,0.178774598474757,"Gsap",5
"Hivep3",0.698435490440886,0.257085731786544,"Hivep3",3
"Icam1",0.566945949136263,0.250403396244642,"Icam1",3
"Ifih1",0.513463031925384,0.215554058076293,"Ifih1",6
"Ifnb1",0.875812579731262,0.0922116389001029,"Ifnb1",6
"Il1r1",0.221530132204172,0.351626970540926,"Il1r1",4
"Il1rap",0.758494833796965,0.141825018688145,"Il1rap",9
"Il1rl1",0.871962820255675,0.171695170302333,"Il1rl1",5
"Il34",0.546353776203698,0.227433597326574,"Il34",5
"Irf1",0.433134135819151,0.247068627016381,"Irf1",1
"Irg1",0.918434733939834,0.101358233106363,"Irg1",7
"Itgal",0.876270899482032,0.11452920448391,"Itgal",8
"Itpkc",0.528948696752407,0.238203767480914,"Itpkc",1
"Jak2",0.355031928770655,0.28829629474667,"Jak2",2
"Kcnk10",0.75859978171241,0.162592930641759,"Kcnk10",7
"Kcnn3",0.901726754311688,0.104970970863247,"Kcnn3",5
"Klf10",0.544980456193403,0.317469334985866,"Klf10",1
"Lcn2",0.979029895189975,0.0486785974528002,"Lcn2",8
"Mmp1b",0.59903889084158,0.234513042291752,"Mmp1b",8
"Mmp3",0.318890316818604,0.363123015825185,"Mmp3",8
"Mmp9",0.751518379098918,0.156411872861856,"Mmp9",8
"Nfkb1",0.799339549905028,0.229212759340679,"Nfkb1",2
"Nfkb2",0.58312508475736,0.263483889429015,"Nfkb2",4
"Nfkbie",0.763906418505015,0.201404510506677,"Nfkbie",3
"Oasl1",-0.0306984706898905,0.28004027085321,"Oasl1",6
"Pdgfb",0.707513405035695,0.341231053649236,"Pdgfb",3
"Pilra",0.419953882729599,0.214103868751671,"Pilra",8
"Pim1",0.796593147643793,0.17940155865694,"Pim1",1
"Ptger2",0.455822916523132,0.247273951727882,"Ptger2",7
"Ptges",0.130752764312044,0.29419214679832,"Ptges",7
"Rab11fip1",0.678613438013613,0.186511610021943,"Rab11fip1",3
"Rab15",0.759191276392014,0.132302050273508,"Rab15",9
"Rab20",0.456177219608575,0.262148241427104,"Rab20",2
"Rbfox1",0.664980982050852,0.180861510583333,"Rbfox1",5
"Rel",0.552518453113003,0.23969206924961,"Rel",1
"Rhof",-0.14474976960361,0.335733250222396,"Rhof",2
"Ripk2",0.76134151411942,0.194381405394237,"Ripk2",3
"Rsad2",0.639069627466731,0.184795467014575,"Rsad2",6
"Sdc4",0.468584235580276,0.410987253060353,"Sdc4",2
"Sik1",0.532106970112345,0.305479101434618,"Sik1",2
"Slc39a4",0.649871069680831,0.168684185388258,"Slc39a4",9
"Slc6a12",-0.352751295142685,0.511320300400435,"Slc6a12",9
"Slc7a2",0.579414798427019,0.205217265916808,"Slc7a2",5
"Slco2a1",0.371633460655732,0.387798855597486,"Slco2a1",5
"Slco3a1",0.417197352330102,0.230219064863345,"Slco3a1",5
"Slfn2",0.829497658622686,0.16842880315833,"Slfn2",3
"Sod2",0.351700021029663,0.237999398503823,"Sod2",9
"St3gal1",0.479086786295741,0.358939436440641,"St3gal1",4
"Timp1",0.782185715971338,0.252754469153837,"Timp1",5
"Tmem132e",0.0835659216513849,0.282428051658574,"Tmem132e",7
"Tmem158",0.321447179414396,0.221796585048674,"Tmem158",9
"Tnfaip2",0.527618125207131,0.239727014992328,"Tnfaip2",3
"Tnfsf11",0.836743987496872,0.186661540045618,"Tnfsf11",3
"Tnip1",0.524704898484259,0.222709617647531,"Tnip1",4
"Trim47",0.637841691516902,0.231639653007128,"Trim47",2
"U90926",0.873905909809987,0.126080209551258,"U90926",8
"Wnt11",0.443605419998046,0.230620089871783,"Wnt11",4
"Zbtb10",0.222743346121164,0.277778630000623,"Zbtb10",1
"Zc3h12a",0.399357039255705,0.345518315100767,"Zc3h12a",6
"Zc3h12c",0.276451922485855,0.304403487016638,"Zc3h12c",2
