gene,minScore,k1,k2,k_1,k_2,k_3,Kd1,Kd2,Kd3,n1,n2,n3,kp,kt,kdeg,nfkb_input,k2_0,KdA,nA,TS
Acpp,0.0764384939587401,1,1,0.252596067355282,0.001,0,0.00919085419964865,3.42949880568807,0.5,3,3,3,1,1,0.00393271348453926,0.02,0,0.5,3,480
Adtrp,0.100276239146214,1,0.0196813016599128,0.00948919282063667,0.0473837222315461,0.00673449688791343,2.1051556743803,0.0199926286225402,7.20871801041197,3,3,3,1,1,0.00454273657836052,0.02,0,0.5,3,120
Angptl4,0.118604945114979,1,1,0.00421578279272473,0.00100072457585518,0,4.71493268356952,0.00102189769933919,0.5,3,3,3,1,1,0.187018011136796,0.02,0,0.5,3,480
B4galt5,0.199795306378234,1,0.0451712959839024,0.00311513484653161,5.60834178891997,0.0378387906690567,2.72876912436861,0.0167521476144657,20.8733924752454,3,3,3,1,1,0.00676885221965734,0.02,0,0.5,3,120
Bcl3,0.0819718974502235,1,0.736726872768115,162.166633856364,0.0158922340441274,0.903330114163976,915.878070993482,0.00243862746525694,0.124715066784716,3,3,3,1,1,0.0217607280689812,0.02,0,0.5,3,120
Bdkrb2,0.120762206552081,1,1,5.61024429893044,601.199201675993,0,0.00664564411560767,34.2122956153662,0.5,3,3,3,1,1,0.00137543237769326,0.02,0,0.5,3,480
Ccl1,0.0670361971000595,1,0.00816682327862939,0.001,0.0240920634874391,0.0314097421009895,1.90155204330456,0.0597304339144053,10.4803453426777,3,3,3,1,1,0.0107023364146697,0.02,0,0.5,3,120
Ccl2,0.0216953380202301,1,1,191.213876041001,0.0139505124429329,0,0.00822194988176493,0.310741032158046,0.5,3,3,3,1,1,0.0201141943570177,0.02,0,0.5,3,480
Ccl5,0.0334960055255132,1,0.0527657481670895,0.001,0.00360899870256,0.0113853383744147,2.49927745640865,210.615011681935,0.00537608578003089,3,3,3,1,1,0.00815173777012796,0.02,0,0.5,3,120
Ccl7,0.0348475565354946,1,0.0706100808954792,0.0234139942643198,0.0963328857336158,189.737190664272,2.95583898399416,0.0137115413919807,0.00285529270548317,3,3,3,1,1,0.00894377495196408,0.02,0,0.5,3,120
Cd274,0.152871490491531,1,1,0.0248875863016093,0.001,0,0.0720908944180761,3.57984826304178,0.5,3,3,3,1,1,0.0266469861575119,0.02,0,0.5,3,480
Cebpb,0.104647724397283,1,1,0.00587837945379009,448.7554737669,0,3.44991893249098,0.00101195285768672,0.5,3,3,3,1,1,0.0276892503116973,0.02,0,0.5,3,480
Cgn,0.0773422659471772,1,1,130.800546762296,0.00840197660565705,0,0.0062830464596544,0.195809401486684,0.5,3,3,3,1,1,0.0147974026131169,0.02,0,0.5,3,480
Cx3cl1,0.056006176739964,1,1,0.143481411959459,0.00914420084877891,0,0.0348129279149472,334.42177534089,0.5,3,3,3,1,1,0.00781250719996643,0.02,0,0.5,3,480
Cxcl10,0.132395712132488,1,1,0.001,176.175758178716,0,1.85276849977703,0.124768263076121,0.5,3,3,3,1,1,0.0104647732077822,0.02,0,0.5,3,480
Egln3,0.0605614184601841,1,5.94748287983684,23.6976428415882,0.00102504691204534,10.9855815648403,0.0891037930870708,0.00275472833090548,0.00310078362533381,3,3,3,1,1,0.00551802292720125,0.02,0,0.5,3,120
Exoc3l4,0.107397342478783,1,1,0.00104725498111394,24.0634121876178,0,895.797972190104,0.00263578449422475,0.5,3,3,3,1,1,1.38629436111989,0.02,0,0.5,3,480
Flt1,0.134316080767181,1,0.00346140002787122,76.6354914149477,0.0121041356453781,5.28934882890221,0.0416714830782952,0.00963406199250555,3.42579441393568,3,3,3,1,1,0.00324161390971685,0.02,0,0.5,3,120
Fpr1,0.0149677294034872,1,0.0517923289387847,0.001,0.00197101303209907,0.0113836589713083,37.3940829040282,215.273888055006,0.00537897764055467,3,3,3,1,1,0.0380565943317499,0.02,0,0.5,3,120
Gadd45b,0.15247348131044,1,1,0.139150152031104,0.0634941653420823,0,0.0622105838652004,17.3352203003025,0.5,3,3,3,1,1,0.0195887752480555,0.02,0,0.5,3,480
Gbp2,0.0504448548694771,1,1,82.9884165280748,0.00408330443765756,0,0.679524394170335,0.113447100663013,0.5,3,3,3,1,1,0.00900735442334011,0.02,0,0.5,3,480
Gch1,0.0598067432786409,1,0.0408652960864529,0.022544374119158,0.00707618968700995,9.07003635831889,0.0358620648812958,229.862924731981,0.0637245558744335,3,3,3,1,1,0.00828947528651153,0.02,0,0.5,3,120
Gda,0.371959452355672,1,1,3.66110571472366,0.0139679341645165,0,0.0362901178533634,0.0430570104151605,0.5,3,3,3,1,1,0.00387235514705029,0.02,0,0.5,3,480
Glrx,0.0526852607827141,1,1,2.65252968526274,6.42201875777705,0,0.0010729800697019,0.052837143441162,0.5,3,3,3,1,1,0.000812022735762687,0.02,0,0.5,3,480
Gm16685,0.0612694738591404,1,65.1727843863008,0.0175489190366099,0.00114176676248724,225.456322942508,138.5731950736,850.924719525139,0.127398147721577,3,3,3,1,1,0.0121431910812286,0.02,0,0.5,3,120
Gsap,0.0781018343662828,1,0.308588220321928,139.65928168789,0.0100183793717391,0.491941430984128,0.264041576880142,0.00100368109464085,21.0301891610291,3,3,3,1,1,0.00476417915743024,0.02,0,0.5,3,120
Hivep3,0.095643102085157,1,1,0.0137149779621022,34.8643339026766,0,253.231149242148,0.00640787449311474,0.5,3,3,3,1,1,0.0172438877516721,0.02,0,0.5,3,480
Icam1,0.0503166403160294,1,0.0474983009830462,0.0132271946703352,0.147073234654264,0.0373521270571411,2.32265732347872,0.0349190866157413,21.1397012821374,3,3,3,1,1,0.00578593521738959,0.02,0,0.5,3,120
Il1r1,0.151927072442425,1,1,0.00486355135950257,323.218627448955,0,2.48914640461315,0.0015295583426719,0.5,3,3,3,1,1,0.0117031003776698,0.02,0,0.5,3,480
Il1rap,0.0328254574394034,1,0.00322010863801573,101.018104347038,0.001,5.54652680389235,0.0414530101131112,0.0196340558659168,3.96100312156836,3,3,3,1,1,0.00380158109560635,0.02,0,0.5,3,120
Il1rl1,0.0642141669011988,1,1,0.0477585179933106,0.010015981271233,0,2.35098189181576,0.0204086534825565,0.5,3,3,3,1,1,0.0061410207768384,0.02,0,0.5,3,480
Il34,0.0587525672910869,1,1,0.00100017663776557,0.0102562061601636,0,3.79611608534725,0.00110674994038,0.5,3,3,3,1,1,0.0163656267119529,0.02,0,0.5,3,480
Irf1,0.155869761849849,1,1,0.0891348398730887,188.062305765814,0,2.60773574676982,0.00111258051187202,0.5,3,3,3,1,1,0.0302971999330944,0.02,0,0.5,3,480
Itgal,0.0170320903594944,1,3.88411518026027,0.00103881371255461,0.00111335347152416,552.24200819001,2.67806703855284,807.138957180542,81.689075352305,3,3,3,1,1,0.0109160449822562,0.02,0,0.5,3,120
Itpkc,0.183417434073419,1,1,0.111188399192264,163.513462694174,0,2.40051129710808,0.0191363405601668,0.5,3,3,3,1,1,0.0136877815507319,0.02,0,0.5,3,480
Jak2,0.131831528287982,1,1,0.0118039959409435,32.5544432712264,0,255.348959538037,0.0045392081835301,0.5,3,3,3,1,1,0.022111816463157,0.02,0,0.5,3,480
Kcnk10,0.142959731964609,1,1,42.3097534992379,0.0138751791670336,0,115.449420466614,0.664123272370192,0.5,3,3,3,1,1,0.00104712204563798,0.02,0,0.5,3,480
Kcnn3,0.0365096130633513,1,0.0520442835963304,5.64307749344774,0.001,0.338450635486236,0.0402730011753012,93.8459512205509,0.00101185125526438,3,3,3,1,1,0.0127276125512452,0.02,0,0.5,3,120
Klf10,0.183620030240849,1,7.66983394650683,2.36009789646008,0.0835318064840064,894.573550645638,138.951761473004,0.00635393618066295,0.0144818829965187,3,3,3,1,1,0.0313043937562026,0.02,0,0.5,3,120
Lcn2,0.0231577760593098,1,3.65237163782717,0.001,0.00189786280214567,552.241996941444,5.97641275849694,809.109934685389,4.82424673129192,3,3,3,1,1,0.0309343121776096,0.02,0,0.5,3,120
Mir155hg,0.106374996395114,1,1,0.0203771280825277,31.7743511899845,0,447.47128336732,0.00121953570626001,0.5,3,3,3,1,1,0.0875435573242021,0.02,0,0.5,3,480
Mmp1b,0.0857251327238105,1,7.28665134068931,8.77460072037289,0.00274891304557382,0.401031902482552,3.41693027663977,37.7385274445947,0.00100001932117242,3,3,3,1,1,0.000844986760126992,0.02,0,0.5,3,120
Mmp3,0.016080458353477,1,1,0.001,0.001,0,154.772404514378,0.00316156737429943,0.5,3,3,3,1,1,0.00252851380507528,0.02,0,0.5,3,480
Mmp9,0.0913773230578354,1,5.36502607710525,168.403494453155,0.00377449761635248,0.001,0.718681704572096,0.012798752743167,0.00236957674541729,3,3,3,1,1,0.00218540061662396,0.02,0,0.5,3,120
Nfkb1,0.120461809155308,1,1,0.0255381820804025,32.5372390359317,0,320.985927140617,0.00100938921821958,0.5,3,3,3,1,1,0.00623862775779259,0.02,0,0.5,3,480
Nfkb2,0.0682383896677178,1,1,0.0104942731131271,1.33046147562652,0,2.22250323831825,0.0236651191628986,0.5,3,3,3,1,1,0.00983326348481793,0.02,0,0.5,3,480
Nfkbie,0.0639971258609573,1,0.00616699246260316,0.0102767283623126,0.128803376155433,0.0375658439316992,1.97028808954738,0.0342373419698714,21.0231374126605,3,3,3,1,1,0.00831703215621954,0.02,0,0.5,3,120
Pdgfb,0.13183507646328,1,1,0.001,0.197716910432811,0,2.25229883475927,0.173881943916991,0.5,3,3,3,1,1,0.00958902969137664,0.02,0,0.5,3,480
Pilra,0.0996772278809771,1,1,0.001,0.001,0,158.824292509534,0.00262462850823458,0.5,3,3,3,1,1,0.00506733632203524,0.02,0,0.5,3,480
Pim1,0.102290035130214,1,1,1.02469854781076,0.0562833544470421,0,1.89044791214949,0.00643127706080581,0.5,3,3,3,1,1,0.0396524899237645,0.02,0,0.5,3,480
Ptger2,0.0704536360457758,1,1,78.7529511726858,0.00341808733532674,0,1.04152047679033,0.0265103217788244,0.5,3,3,3,1,1,0.01778743995913,0.02,0,0.5,3,480
Ptges,0.0367119363432777,1,30.4710860477544,0.00317554198208978,0.0106290911092906,6.31120301123591,11.5661219504536,4.19534363163969,1.23719828143741,3,3,3,1,1,0.00358704749138739,0.02,0,0.5,3,120
Rab11fip1,0.0901323984926264,1,1,0.0165839888592032,24.5269548676421,0,789.248085202075,0.00288492441498287,0.5,3,3,3,1,1,0.0167264202191286,0.02,0,0.5,3,480
Rab15,0.109488790027947,1,1,0.21079210938708,0.00778588327577255,0,0.00946413124331607,0.205374138584339,0.5,3,3,3,1,1,0.000717043883383183,0.02,0,0.5,3,480
Rab20,0.0951162863307374,1,1,0.116730376892376,185.385277949672,0,0.0176085882449541,0.0516105122863989,0.5,3,3,3,1,1,0.00656206197636851,0.02,0,0.5,3,480
Rbfox1,0.0834398390499671,1,1,0.001,366.473696807014,0,440.272024934592,0.00181581759874054,0.5,3,3,3,1,1,0.00974792399771499,0.02,0,0.5,3,480
Rel,0.157509494473303,1,1,0.0461398927706509,93.1943178331049,0,2.17087715414539,0.00156875854257428,0.5,3,3,3,1,1,0.0249342275035827,0.02,0,0.5,3,480
Rhof,0.177792292396348,1,1,0.0154011018441198,0.00461369161371484,0,0.00237408697805592,2.98864495622062,0.5,3,3,3,1,1,0.032899112568273,0.02,0,0.5,3,480
Ripk2,0.0760866040060073,1,1,0.0160098363788588,58.3543341960076,0,331.936981090833,0.00200338602259075,0.5,3,3,3,1,1,0.0146977837716452,0.02,0,0.5,3,480
Sdc4,0.188581615412199,1,1,21.7125608756899,34.5205648846682,0,1.1326583071501,0.00774941075287057,0.5,3,3,3,1,1,0.0064275916807645,0.02,0,0.5,3,480
Serpina3g,0.063768519065299,1,1,126.674202319065,0.00294469151360034,0,0.00197786814804263,0.112222452140278,0.5,3,3,3,1,1,0.0152571836056999,0.02,0,0.5,3,480
Sik1,0.103708613978646,1,1,0.013785385540977,3.00308989027622,0,1.5837798329306,0.00100065422618176,0.5,3,3,3,1,1,0.013233487270206,0.02,0,0.5,3,480
Slc39a4,0.0579726595129584,1,1,322.993142415396,0.001,0,0.0529980335414807,0.0170575776620269,0.5,3,3,3,1,1,0.0150472469917865,0.02,0,0.5,3,480
Slc6a12,0.413934424360158,1,1,0.00575009369667765,0.0010000019805115,0,4.0434498351923,0.00278049070876427,0.5,3,3,3,1,1,0.572618204515972,0.02,0,0.5,3,480
Slc7a2,0.10234492528801,1,651.522056442989,0.001,0.00440558943116417,6.74620121861045,0.109877723267601,774.136502946901,0.0145126192104198,3,3,3,1,1,0.00408234675631913,0.02,0,0.5,3,120
Slco2a1,0.0677756387040154,1,1,127.893442591213,0.00317725881788376,0,0.00577049057965423,0.0769991788908724,0.5,3,3,3,1,1,0.00595680503546938,0.02,0,0.5,3,480
Slco3a1,0.0561740389398475,1,0.0037599065747317,68.0117185575706,0.00382143637173991,2.74142402807173,0.0353364937492368,0.0222260415150118,3.72515429911865,3,3,3,1,1,0.00503870180548424,0.02,0,0.5,3,120
Slfn2,0.141460921034892,1,1,10.0294622716989,0.0380661465031431,0,2.33112576475984,0.00388020462295612,0.5,3,3,3,1,1,0.0301894015995274,0.02,0,0.5,3,480
Sod2,0.0895927128387574,1,0.0513227322608867,0.001,376.201403765973,0.0361554757316371,3.34723204339602,0.0394057796495444,21.5486155610155,3,3,3,1,1,0.0133117577852945,0.02,0,0.5,3,120
St3gal1,0.0930334035865089,1,0.0737219447319547,0.0063466280764368,0.0942481082463755,0.0262976321575153,2.27138503076176,0.0218961529572278,24.4520927050221,3,3,3,1,1,0.00690823950621921,0.02,0,0.5,3,120
Timp1,0.0349048214557299,1,147.964679375474,0.915360010246386,0.00100034107998128,0.835303643874664,10.3259663006401,0.00725354751565405,0.248737975636326,3,3,3,1,1,0.00210369074461905,0.02,0,0.5,3,120
Tmem132e,0.0557109049884004,1,1,0.00111128272104004,30.0691631326517,0,339.646153703246,0.0290377115057233,0.5,3,3,3,1,1,0.0147765486727589,0.02,0,0.5,3,480
Tmem158,0.109606226324593,1,1,3.29706613225869,6.17660554880352,0,0.0477800043269254,0.00100923395196292,0.5,3,3,3,1,1,0.0019050456971805,0.02,0,0.5,3,480
Tnfaip2,0.0521863191549911,1,1,0.0145310877045789,39.6676879547864,0,325.1606972791,0.0131656185573227,0.5,3,3,3,1,1,0.0224757392104391,0.02,0,0.5,3,480
Tnfsf11,0.0788456120814753,1,1,0.0555049683752314,0.254648672361709,0,4.02172733472762,0.00196760725865622,0.5,3,3,3,1,1,0.0165199288549058,0.02,0,0.5,3,480
Tnip1,0.0618615012331769,1,1,0.001,0.0105254664829622,0,2.81160485007759,0.753942075213283,0.5,3,3,3,1,1,0.0113382462377687,0.02,0,0.5,3,480
Trim47,0.0756610280881156,1,50.5850084241393,0.00361718195428591,0.00379177080275425,4.29025031186401,3.30970745812517,0.702861168294571,4.31211155485679,3,3,3,1,1,0.0130815641768567,0.02,0,0.5,3,120
U90926,0.0759083393316858,1,1,1000,0.00100043413873556,0,0.0963935366231568,0.0125156240379227,0.5,3,3,3,1,1,0.0143898139738528,0.02,0,0.5,3,480
Wnt11,0.107025060678782,1,1,0.001,0.0158661115846238,0,2.57523205980523,0.0866600306279891,0.5,3,3,3,1,1,0.0151458961299833,0.02,0,0.5,3,480
Zbtb10,0.198726665124367,1,1,0.0438881171550956,183.34685272274,0,2.20571217361434,0.001,0.5,3,3,3,1,1,0.028195539595808,0.02,0,0.5,3,480
Zc3h12c,0.106191385240654,1,1,844.921001477675,0.0295096003797948,0,0.00385741869777376,0.0364337958536092,0.5,3,3,3,1,1,0.00526737135474675,0.02,0,0.5,3,480
